age,Medu,Fedu,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,G3,study_efficiency,risk_score,social_stability,G1^2,G1_G2,G2^2,school_MS,sex_M,address_U,famsize_LE3,Pstatus_T,Mjob_health,Mjob_other,Mjob_services,Mjob_teacher,Fjob_health,Fjob_other,Fjob_services,Fjob_teacher,reason_home,reason_other,reason_reputation,guardian_mother,guardian_other,subject_portuguese
18,4,4,2,2,0,1,0,0,0,1,1,0,0,4,3,4,1,1,3,6,5.0,6.0,6,2.0,0.032,4.0,25.0,30.0,36.0,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False
17,1,1,1,2,0,0,1,0,0,0,1,1,0,5,3,3,1,1,3,4,5.0,5.0,6,2.0,0.021333333333333336,5.0,25.0,25.0,25.0,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False
15,1,1,1,2,3,1,0,1,0,1,1,1,0,4,3,2,2,3,3,10,7.0,8.0,10,0.5,0.5283333333333333,4.0,49.0,56.0,64.0,False,False,True,True,True,False,False,False,False,False,True,False,False,False,True,False,True,False,False
15,4,2,1,3,0,0,1,1,1,1,1,1,1,3,2,2,1,1,5,2,15.0,14.0,15,3.0,0.010666666666666668,2.4000000000000004,225.0,210.0,196.0,False,False,True,False,True,True,False,False,False,False,False,True,False,True,False,False,True,False,False
16,3,3,1,2,0,0,1,1,0,1,1,0,0,4,3,2,1,2,5,4,6.0,10.0,10,2.0,0.04633333333333334,4.0,36.0,60.0,100.0,False,False,True,False,True,False,True,False,False,False,True,False,False,True,False,False,False,False,False
16,4,3,1,2,0,0,1,1,1,1,1,1,0,5,4,2,1,2,5,10,15.0,15.0,15,2.0,0.07833333333333334,5.0,225.0,225.0,225.0,False,True,True,True,True,False,False,True,False,False,True,False,False,False,False,True,True,False,False
16,2,2,1,2,0,0,0,0,0,1,1,1,0,4,4,4,1,1,3,0,12.0,12.0,11,2.0,0.0,4.0,144.0,144.0,144.0,False,True,True,True,True,False,True,False,False,False,True,False,False,True,False,False,True,False,False
17,4,4,2,2,0,1,1,0,0,1,1,0,0,4,1,4,1,1,1,6,6.0,5.0,6,2.0,0.032,4.0,36.0,30.0,25.0,False,False,True,False,False,False,True,False,False,False,False,False,True,True,False,False,True,False,False
15,3,2,1,2,0,0,1,1,0,1,1,1,0,4,2,2,1,1,1,0,16.0,18.0,19,2.0,0.0,4.0,256.0,288.0,324.0,False,True,True,True,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False
15,3,4,1,2,0,0,1,1,1,1,1,1,0,5,5,1,1,1,5,0,14.0,15.0,15,2.0,0.0,5.0,196.0,210.0,225.0,False,True,True,False,True,False,True,False,False,False,True,False,False,True,False,False,True,False,False
15,4,4,1,2,0,0,1,1,0,1,1,1,0,3,3,3,1,2,2,0,10.0,8.0,9,2.0,0.025,3.0,100.0,80.0,64.0,False,False,True,False,True,False,False,False,True,True,False,False,False,False,False,True,True,False,False
15,2,1,3,3,0,0,1,0,1,1,1,1,0,5,2,2,1,1,4,4,10.0,12.0,12,3.0,0.021333333333333336,5.0,100.0,120.0,144.0,False,False,True,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False
15,4,4,1,1,0,0,1,1,1,1,1,1,0,4,3,3,1,3,5,2,14.0,14.0,14,1.0,0.060666666666666674,4.0,196.0,196.0,196.0,False,True,True,True,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False
15,4,3,2,2,0,0,1,1,0,1,1,1,0,5,4,3,1,2,3,2,10.0,10.0,11,2.0,0.035666666666666666,5.0,100.0,100.0,100.0,False,True,True,False,True,False,False,False,True,False,True,False,False,False,False,False,True,False,False
15,2,2,1,3,0,0,1,0,0,1,1,1,1,4,5,2,1,1,3,0,14.0,16.0,16,3.0,0.0,3.2,196.0,224.0,256.0,False,True,True,False,False,False,True,False,False,False,True,False,False,True,False,False,False,True,False
16,4,4,1,1,0,0,1,0,0,1,1,1,0,4,4,4,1,2,2,4,14.0,14.0,14,1.0,0.04633333333333334,4.0,196.0,196.0,196.0,False,False,True,False,True,True,False,False,False,False,True,False,False,True,False,False,True,False,False
16,4,4,1,3,0,0,1,1,1,1,1,1,0,3,2,3,1,2,2,6,13.0,14.0,14,3.0,0.057,3.0,169.0,182.0,196.0,False,False,True,False,True,False,False,True,False,False,False,True,False,False,False,True,True,False,False
16,3,3,3,2,0,1,1,0,1,1,1,0,0,5,3,2,1,1,4,4,8.0,10.0,10,2.0,0.021333333333333336,5.0,64.0,80.0,100.0,False,False,True,False,True,False,True,False,False,False,True,False,False,False,False,True,True,False,False
17,3,2,1,1,3,0,1,0,1,1,1,1,0,5,5,5,2,4,5,16,6.0,5.0,5,0.25,0.5853333333333334,5.0,36.0,30.0,25.0,False,True,True,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False
16,4,3,1,1,0,0,0,1,1,1,1,1,0,3,1,3,1,3,5,4,8.0,10.0,10,1.0,0.07133333333333333,3.0,64.0,80.0,100.0,False,True,True,True,True,True,False,False,False,False,True,False,False,True,False,False,False,False,False
15,4,3,1,2,0,0,0,0,0,1,1,1,0,4,4,1,1,1,1,0,13.0,14.0,15,2.0,0.0,4.0,169.0,182.0,196.0,False,True,True,False,True,False,False,False,True,False,True,False,False,False,False,True,True,False,False
15,4,4,1,1,0,0,1,1,0,1,1,1,0,5,4,2,1,1,5,0,12.0,15.0,15,1.0,0.0,5.0,144.0,180.0,225.0,False,True,True,False,True,True,False,False,False,True,False,False,False,False,True,False,False,False,False
16,4,2,1,2,0,0,0,0,1,1,1,1,0,4,5,1,1,3,5,2,15.0,15.0,16,2.0,0.060666666666666674,4.0,225.0,225.0,225.0,False,True,True,True,True,False,False,False,True,False,True,False,False,False,False,False,True,False,False
16,2,2,2,2,0,0,1,0,1,1,1,1,0,5,4,4,2,4,5,0,13.0,13.0,12,2.0,0.1,5.0,169.0,169.0,169.0,False,True,True,True,True,False,True,False,False,False,True,False,False,False,False,True,True,False,False
15,2,4,1,3,0,1,1,1,1,1,1,1,0,4,3,2,1,1,5,2,10.0,9.0,8,3.0,0.010666666666666668,4.0,100.0,90.0,81.0,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,True,False,False
16,2,2,1,1,2,0,1,1,0,0,1,1,0,1,2,2,1,3,5,14,6.0,9.0,8,0.3333333333333333,0.3913333333333333,1.0,36.0,54.0,81.0,False,False,True,False,True,False,False,True,False,False,False,True,False,True,False,False,True,False,False
15,2,2,1,1,0,0,1,1,0,1,1,1,0,4,2,2,1,2,5,2,12.0,12.0,11,1.0,0.035666666666666666,4.0,144.0,144.0,144.0,False,True,True,False,True,False,True,False,False,False,True,False,False,True,False,False,True,False,False
15,4,2,1,1,0,0,0,1,0,1,1,1,0,2,2,4,2,4,1,4,15.0,16.0,15,1.0,0.12133333333333335,2.0,225.0,240.0,256.0,False,True,True,False,True,True,False,False,False,False,False,True,False,False,True,False,True,False,False
16,3,4,1,2,0,1,1,0,1,1,1,1,0,5,3,3,1,1,5,4,11.0,11.0,11,2.0,0.021333333333333336,5.0,121.0,121.0,121.0,False,True,True,True,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False
16,4,4,1,2,0,0,1,1,1,1,1,1,1,4,4,5,5,5,5,16,10.0,12.0,11,2.0,0.2853333333333333,3.2,100.0,120.0,144.0,False,True,True,False,True,False,False,False,True,False,False,False,True,True,False,False,True,False,False
15,4,4,1,2,0,0,1,1,0,0,1,1,0,5,4,2,3,4,5,0,9.0,11.0,12,2.0,0.125,5.0,81.0,99.0,121.0,False,True,True,False,True,True,False,False,False,False,False,True,False,True,False,False,True,False,False
15,4,4,2,2,0,0,1,0,1,1,1,1,0,4,3,1,1,1,5,0,17.0,16.0,17,2.0,0.0,4.0,289.0,272.0,256.0,False,True,True,False,True,False,False,True,False,False,False,True,False,False,False,True,True,False,False
15,4,3,1,2,0,0,1,0,1,1,1,1,1,4,5,2,1,1,5,0,17.0,16.0,16,2.0,0.0,3.2,289.0,272.0,256.0,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False
15,3,3,1,2,0,0,0,0,1,0,1,1,0,5,3,2,1,1,2,0,8.0,10.0,12,2.0,0.0,5.0,64.0,80.0,100.0,False,True,True,True,True,False,True,False,False,False,True,False,False,False,False,False,True,False,False
16,3,2,1,1,0,0,1,1,0,0,1,1,0,5,4,3,1,1,5,0,12.0,14.0,15,1.0,0.0,5.0,144.0,168.0,196.0,False,True,True,False,True,False,True,False,False,False,True,False,False,True,False,False,True,False,False
15,2,3,2,1,0,0,1,0,1,1,1,0,0,3,5,1,1,1,5,0,8.0,7.0,6,1.0,0.0,3.0,64.0,56.0,49.0,False,False,True,False,True,False,True,False,False,False,True,False,False,False,True,False,False,False,False
15,4,3,1,3,0,0,1,0,1,1,1,1,0,5,4,3,1,1,4,2,15.0,16.0,18,3.0,0.010666666666666668,5.0,225.0,240.0,256.0,False,True,True,True,True,False,False,False,True,False,False,True,False,True,False,False,True,False,False
16,4,4,2,3,0,0,1,0,1,1,1,1,1,2,4,3,1,1,5,7,15.0,16.0,15,3.0,0.037333333333333336,1.6,225.0,240.0,256.0,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,True,True,False,False
15,3,4,1,3,0,1,1,1,1,1,1,1,0,4,3,2,1,1,5,2,12.0,12.0,11,3.0,0.010666666666666668,4.0,144.0,144.0,144.0,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,True,False,False
15,2,2,1,1,0,1,1,1,1,1,1,0,0,4,3,1,1,1,2,8,14.0,13.0,13,1.0,0.04266666666666667,4.0,196.0,182.0,169.0,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,True,False,False
16,2,2,2,2,1,0,1,0,1,0,1,1,1,3,3,3,1,2,3,25,7.0,10.0,11,1.0,0.2916666666666667,2.4000000000000004,49.0,70.0,100.0,False,False,True,True,True,False,True,False,False,False,True,False,False,True,False,False,True,False,False
15,4,4,1,1,0,0,1,0,0,0,1,1,1,5,4,3,2,4,5,8,12.0,12.0,12,1.0,0.14266666666666666,4.0,144.0,144.0,144.0,False,True,True,True,True,False,False,False,True,False,True,False,False,True,False,False,False,True,False
15,4,4,1,2,0,0,1,0,1,1,1,1,0,4,3,3,1,1,5,2,19.0,18.0,18,2.0,0.010666666666666668,4.0,361.0,342.0,324.0,False,True,True,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False
15,2,2,1,1,0,1,1,0,0,1,1,1,0,5,4,1,1,1,1,0,8.0,8.0,11,1.0,0.0,5.0,64.0,64.0,64.0,False,True,True,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False
16,2,2,2,2,1,1,0,0,1,1,1,1,0,4,3,3,2,2,5,14,10.0,10.0,9,1.0,0.258,4.0,100.0,100.0,100.0,False,False,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False
15,4,3,1,2,0,1,1,1,1,1,1,1,1,5,2,2,1,1,5,8,8.0,8.0,6,2.0,0.04266666666666667,4.0,64.0,64.0,64.0,False,False,True,True,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False
16,3,3,1,2,0,0,1,0,0,1,1,1,0,2,3,5,1,4,3,12,11.0,12.0,11,2.0,0.139,2.0,121.0,132.0,144.0,False,False,True,True,False,False,True,False,False,False,False,True,False,True,False,False,True,False,False
16,4,3,1,4,0,0,0,0,1,1,1,1,0,4,2,2,1,1,2,4,19.0,19.0,20,4.0,0.021333333333333336,4.0,361.0,361.0,361.0,False,True,True,False,True,True,False,False,False,False,False,True,False,False,False,True,True,False,False
15,4,2,1,2,0,0,1,1,0,1,1,0,0,4,3,3,2,2,5,2,15.0,15.0,14,2.0,0.060666666666666674,4.0,225.0,225.0,225.0,False,True,True,False,True,False,False,False,True,False,True,False,False,True,False,False,True,False,False
15,4,4,1,2,1,1,1,0,1,0,1,1,0,4,4,4,1,1,3,2,7.0,7.0,7,1.0,0.144,4.0,49.0,49.0,49.0,False,False,True,False,True,False,False,True,False,False,False,False,True,False,True,False,False,False,False
